                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.1713,1.8591,1.1328,0.91787,0.95712,0.97682,0.66898,1.1502,0.71837,1.1704,0.00019342,0.00019342,0.00019342
2,0.98476,0.72714,1.0365,0.96456,0.9842,0.9837,0.75846,0.86912,0.5022,1.014,0.00037978,0.00037978,0.00037978
3,0.96253,0.64718,1.0357,0.93865,0.98693,0.98455,0.75302,0.90553,0.52094,1.0237,0.00055644,0.00055644,0.00055644
4,0.90151,0.59256,1.0105,0.96755,0.98942,0.98671,0.78281,0.80442,0.42818,0.99686,0.00054434,0.00054434,0.00054434
5,0.85703,0.50678,0.9892,0.97215,0.98971,0.98509,0.77377,0.82916,0.38356,1.0153,0.00052979,0.00052979,0.00052979
6,0.83881,0.48875,0.98681,0.96866,0.9781,0.98667,0.78981,0.77227,0.37722,0.99366,0.00051523,0.00051523,0.00051523
7,0.8508,0.47414,0.9987,0.98173,0.98906,0.98879,0.79004,0.78607,0.36496,0.99689,0.00050068,0.00050068,0.00050068
8,0.81663,0.45109,0.98364,0.97648,0.9915,0.98344,0.79523,0.76549,0.36127,0.99219,0.00048613,0.00048613,0.00048613
9,0.8244,0.46492,0.98745,0.97419,0.99102,0.98174,0.78382,0.81536,0.36025,1.0113,0.00047158,0.00047158,0.00047158
10,0.79716,0.43631,0.97096,0.97296,0.98925,0.98291,0.80184,0.76684,0.3457,0.9953,0.00045702,0.00045702,0.00045702
11,0.77,0.41884,0.96584,0.98199,0.98897,0.98644,0.8075,0.73049,0.31567,0.979,0.00044247,0.00044247,0.00044247
12,0.77401,0.40249,0.97801,0.97838,0.98878,0.98838,0.8036,0.75279,0.32203,0.9839,0.00042792,0.00042792,0.00042792
13,0.78934,0.41978,0.98115,0.97551,0.9836,0.98598,0.80447,0.74952,0.33853,0.98562,0.00041336,0.00041336,0.00041336
14,0.76669,0.40004,0.96724,0.97761,0.99133,0.98373,0.80061,0.75286,0.32879,0.98914,0.00039881,0.00039881,0.00039881
15,0.75555,0.39144,0.95957,0.97845,0.99132,0.98691,0.80013,0.74668,0.31484,0.99134,0.00038426,0.00038426,0.00038426
16,0.75441,0.38245,0.96773,0.97862,0.98429,0.98761,0.81091,0.74641,0.31626,0.98999,0.00036971,0.00036971,0.00036971
17,0.7525,0.3812,0.96307,0.97591,0.98172,0.98694,0.81934,0.71964,0.30944,0.9801,0.00035515,0.00035515,0.00035515
18,0.74032,0.36358,0.95999,0.9753,0.99101,0.98538,0.80977,0.73012,0.30654,0.98423,0.0003406,0.0003406,0.0003406
19,0.74583,0.368,0.96679,0.98571,0.99185,0.98548,0.80266,0.75113,0.31132,0.99736,0.00032605,0.00032605,0.00032605
20,0.73428,0.3641,0.9573,0.98676,0.98392,0.98477,0.80501,0.74659,0.30579,0.99237,0.00031149,0.00031149,0.00031149
21,0.74667,0.36878,0.97109,0.98335,0.98769,0.98778,0.818,0.72416,0.30792,0.98735,0.00029694,0.00029694,0.00029694
22,0.71119,0.34783,0.94947,0.97192,0.98939,0.98698,0.81648,0.72205,0.30078,0.97966,0.00028239,0.00028239,0.00028239
23,0.69992,0.33633,0.93067,0.97396,0.98891,0.98762,0.81239,0.75599,0.30942,0.98765,0.00026783,0.00026783,0.00026783
24,0.71437,0.34238,0.95353,0.98307,0.98351,0.98587,0.8214,0.71841,0.28464,0.9799,0.00025328,0.00025328,0.00025328
25,0.70093,0.32787,0.94181,0.98088,0.98476,0.9868,0.80382,0.75394,0.29013,0.99404,0.00023873,0.00023873,0.00023873
26,0.69762,0.33154,0.93769,0.97538,0.98945,0.98722,0.82047,0.70956,0.28787,0.97802,0.00022417,0.00022417,0.00022417
27,0.68932,0.32772,0.92981,0.97421,0.98696,0.98625,0.81649,0.73551,0.29807,0.98638,0.00020962,0.00020962,0.00020962
28,0.68816,0.31611,0.94638,0.97844,0.98354,0.98835,0.82547,0.70927,0.29193,0.97799,0.00019507,0.00019507,0.00019507
29,0.67576,0.31583,0.93148,0.98122,0.9804,0.98628,0.82506,0.71561,0.28498,0.97886,0.00018052,0.00018052,0.00018052
30,0.67438,0.31068,0.93785,0.97708,0.9908,0.98726,0.82603,0.7086,0.27808,0.97712,0.00016596,0.00016596,0.00016596
31,0.64955,0.28532,0.9438,0.97676,0.98514,0.986,0.82244,0.71244,0.27334,0.97749,0.00015141,0.00015141,0.00015141
32,0.64156,0.28188,0.95491,0.97761,0.98789,0.98645,0.822,0.72657,0.27827,0.98908,0.00013686,0.00013686,0.00013686
33,0.64229,0.27819,0.95274,0.98245,0.97958,0.98691,0.81901,0.73969,0.28717,0.98799,0.0001223,0.0001223,0.0001223
34,0.62796,0.27359,0.94707,0.97734,0.98371,0.98555,0.82076,0.74519,0.28595,0.99648,0.00010775,0.00010775,0.00010775
35,0.62705,0.26866,0.94179,0.97381,0.98681,0.98643,0.82465,0.72885,0.28117,0.98403,9.32E-05,9.32E-05,9.32E-05
36,0.61235,0.26724,0.93188,0.9748,0.98448,0.9869,0.82673,0.71272,0.27639,0.97948,7.86E-05,7.86E-05,7.86E-05
37,0.61145,0.26036,0.92895,0.97396,0.98634,0.98704,0.82508,0.73073,0.27652,0.99132,6.41E-05,6.41E-05,6.41E-05
38,0.59702,0.25718,0.92895,0.97913,0.98753,0.98677,0.82493,0.7264,0.27072,0.98701,4.95E-05,4.95E-05,4.95E-05
39,0.60303,0.25235,0.94345,0.98409,0.98327,0.9866,0.82614,0.72374,0.27113,0.9848,3.50E-05,3.50E-05,3.50E-05
40,0.58496,0.24596,0.92095,0.98342,0.98571,0.98688,0.82323,0.7278,0.2695,0.98332,2.04E-05,2.04E-05,2.04E-05
